1,"平成22年国勢調査人口等基本集計（総務省統計局）","","","","","","","","","","",""
67,"","13303","3","2010","2000","瑞穂町",33497,33691,-194,-0.5758214360,16.83,1990.3
68,"","13305","3","2010","2000","日の出町",16650,15941,709,4.4476507120,28.08,592.9
69,"","13307","3","2010","2000","檜原村",2558,2930,-372,-12.6962457338,105.42,24.3
70,"","13308","3","2010","2000","奥多摩町",6045,6741,-696,-10.3248776146,225.63,26.8
71,"","13360","c","2010","2000","大島支庁",13574,14239,-665,-4.6702717887,141.88,95.7
72,"","13361","3","2010","2000","大島町",8461,8702,-241,-2.7694782809,91.06,92.9
73,"","13362","3","2010","2000","利島村",341,308,33,10.7142857143,4.12,82.8
74,"","13363","3","2010","2000","新島村",2883,3161,-278,-8.7946852262,27.83,103.6
75,"","13364","3","2010","2000","神津島村",1889,2068,-179,-8.6557059961,18.87,100.1
76,"","13380","c","2010","2000","三宅支庁",3024,2731,293,10.7286708166,76.08,39.7
77,"","13381","3","2010","2000","三宅村",2676,2439,237,9.7170971710,55.50,48.2
78,"","13382","3","2010","2000","御蔵島村",348,292,56,19.1780821918,20.58,16.9
79,"","13400","c","2010","2000","八丈支庁",8432,9051,-619,-6.8390233123,83.41,101.1
80,"","13401","3","2010","2000","八丈町",8231,8837,-606,-6.8575308363,72.62,113.3
81,"","13402","3","2010","2000","青ヶ島村",201,214,-13,-6.0747663551,5.98,33.6
82,"","13420","c","2010","2000","小笠原支庁",2785,2723,62,2.2769004774,104.41,26.7
83,"","13421","3","2010","2000","小笠原村",2785,2723,62,2.2769004774,104.41,26.7
84,"","13000","d","","","東京都　人口集中地区",12917131,12329196,587935,4.7686402260,1074.42,12022.4
85,"","13001","d","","","東京都 市部　人口集中地区",12885651,12297985,587666,4.7785551861,1066.54,12081.7
86,"","13002","d","","","東京都 郡部　人口集中地区",31480,31211,269,0.8618756208,7.88,3994.9
87,"","13100","d","","","特別区部　人口集中地区",8945695,8489653,456042,5.3717389863,621.83,14386.1
88,"","13101","d","","","千代田区　人口集中地区",47115,41778,5337,12.7746660922,11.64,4047.7
89,"","13102","d","","","中央区　人口集中地区",122762,98399,24363,24.7593979614,10.18,12059.1
90,"","13103","d","","","港区　人口集中地区",205131,185861,19270,10.3679631553,20.34,10085.1
91,"","13104","d","","","新宿区　人口集中地区",326309,305716,20593,6.7359902655,18.23,17899.6
92,"","13105","d","","","文京区　人口集中地区",206626,189632,16994,8.9615676679,11.31,18269.3
93,"","13106","d","","","台東区　人口集中地区",175928,165186,10742,6.5029724069,10.08,17453.2
94,"","13107","d","","","墨田区　人口集中地区",247606,231173,16433,7.1085291102,13.75,18007.7
95,"","13108","d","","","江東区　人口集中地区",460819,420845,39974,9.4985089522,39.94,11537.8
96,"","13109","d","","","品川区　人口集中地区",365302,346357,18945,5.4697898411,22.72,16078.4
97,"","13110","d","","","目黒区　人口集中地区",268330,264064,4266,1.6155174503,14.70,18253.7
98,"","13111","d","","","大田区　人口集中地区",693373,665674,27699,4.1610457972,59.46,11661.2
99,"","13112","d","","","世田谷区　人口集中地区",877138,841165,35973,4.2765688064,58.08,15102.2
100,"","13113","d","","","渋谷区　人口集中地区",204492,203334,1158,0.5695063295,15.11,13533.6
