1,"平成27年国勢調査人口等基本集計（総務省統計局）","","","","","","","","","","","","","","","","","","","","","","",""
2,"","","","","","","第4-2表　出生の月(4区分)，年齢(各歳)，男女別人口(総数及び日本人) － 全国※，全国市部・郡部，都道府県※，都道府県市部・郡部，21大都市※，21大都市の区※，県庁所在市※，人口20万以上の市※","","","","","","","","","","","","","","","","",""
3,"","","","","","","Table 4-2. Population (Total and Japanese Population), by Month of Birth (4 Groups), Age (Single Years) and Sex - Japan*, All Shi, All Gun, Prefecture*, All Shi of Prefectures, All Gun of Prefectures, 21 Major Cities*, Ku of 21 Major Cities*, Prefectural Capital Cities* and Shi with Population of 200,000 or More* ","","","","","","","","","","","","","","","","",""
4,"","","","","","","","","","","","","","","","","","","","","","","",""
5,"","","","","","","※大項目","01（koku2A.0000  総数（国籍） 1)）","","","","","","","","","","","","","","","",""
6,"","","","","","","","02（koku2A.0001  日本人）","","","","","","","","","","","","","","","",""
7,"","","","","","","1) 日本人・外国人の別「不詳」を含む。","","","","","","","","","","","","","","","","",""
8,"","","","","","","danjo.0000","danjo.0000","danjo.0000","danjo.0000","danjo.0000","danjo.0000","danjo.0001","danjo.0001","danjo.0001","danjo.0001","danjo.0001","danjo.0001","danjo.0002","danjo.0002","danjo.0002","danjo.0002","danjo.0002","danjo.0002"
9,"","","","","","","0","0","0","0","0","0","1","1","1","1","1","1","1","1","1","1","1","1"
10,"","","","","","","tsu.0000","tsu.0001","tsu.0002","tsu.0003","tsu.0004","tsu.0005","tsu.0000","tsu.0001","tsu.0002","tsu.0003","tsu.0004","tsu.0005","tsu.0000","tsu.0001","tsu.0002","tsu.0003","tsu.0004","tsu.0005"
11,"","","","","","","0","1","1","1","1","1","0","1","1","1","1","1","0","1","1","1","1","1"
12,"","","","","","","総数（男女別）","","","","","","男","","","","","","女","","","","",""
13,"※大項目","地域コード","地域識別コード","","","","総数（出生の月） ","1月～3月","4月～6月","7月～9月","10月～12月","出生の月「不詳」","総数（出生の月） ","1月～3月","4月～6月","7月～9月","10月～12月","出生の月「不詳」","総数（出生の月） ","1月～3月","4月～6月","7月～9月","10月～12月","出生の月「不詳」"
14,"","","","","","00 全国",,,,,,,,,,,,,,,,,,
41,"01","00000","a","nenKBX.0026","1","　25歳",1212699,293740,299969,310512,308478,-,616202,149099,152435,158057,156611,-,596497,144641,147534,152455,151867,-
42,"01","00000","a","nenKBX.0027","1","　26歳",1242780,299936,303305,315699,323840,-,631361,152161,154287,161068,163845,-,611419,147775,149018,154631,159995,-
43,"01","00000","a","nenKBX.0028","1","　27歳",1284897,306219,316510,342010,320158,-,653268,155225,161435,173971,162637,-,631629,150994,155075,168039,157521,-
44,"01","00000","a","nenKBX.0029","1","　28歳",1321987,317943,327285,341282,335477,-,670795,160479,166687,173875,169754,-,651192,157464,160598,167407,165723,-
45,"01","00000","a","nenKBX.0030","1","　29歳",1347249,327450,329244,347457,343098,-,684091,166312,168220,176290,173269,-,663158,161138,161024,171167,169829,-
46,"01","00000","a","nenKBX.0031","1","　30歳",1402069,338161,340873,366674,356361,-,709122,170529,173057,185919,179617,-,692947,167632,167816,180755,176744,-
47,"01","00000","a","nenKBX.0032","1","　31歳",1448934,354075,350215,382139,362505,-,732061,178426,177794,193184,182657,-,716873,175649,172421,188955,179848,-
48,"01","00000","a","nenKBX.0033","1","　32歳",1471831,356567,365385,386044,363835,-,744101,180725,184930,195580,182866,-,727730,175842,180455,190464,180969,-
49,"01","00000","a","nenKBX.0034","1","　33歳",1475341,351375,361958,395929,366079,-,744738,176856,183595,199882,184405,-,730603,174519,178363,196047,181674,-
50,"01","00000","a","nenKBX.0035","1","　34歳",1492703,359610,370385,390583,372125,-,754725,181561,188130,197555,187479,-,737978,178049,182255,193028,184646,-
51,"01","00000","a","nenKBX.0036","1","　35歳",1557849,380898,379936,401324,395691,-,787195,191883,192930,203330,199052,-,770654,189015,187006,197994,196639,-
52,"01","00000","a","nenKBX.0037","1","　36歳",1599318,387628,392443,415311,403936,-,808838,195632,198996,210401,203809,-,790480,191996,193447,204910,200127,-
53,"01","00000","a","nenKBX.0038","1","　37歳",1662613,402245,418733,431350,410285,-,840265,202988,212528,217873,206876,-,822348,199257,206205,213477,203409,-
54,"01","00000","a","nenKBX.0039","1","　38歳",1707052,406849,430527,448188,421488,-,863248,205583,218062,227173,212430,-,843804,201266,212465,221015,209058,-
55,"01","00000","a","nenKBX.0040","1","　39歳",1789325,445988,442995,460419,439923,-,904656,224921,224715,233095,221925,-,884669,221067,218280,227324,217998,-
56,"01","00000","a","nenKBX.0041","1","　40歳",1868236,465632,457304,473494,471806,-,944154,234664,231846,239601,238043,-,924082,230968,225458,233893,233763,-
57,"01","00000","a","nenKBX.0042","1","　41歳",1971714,486909,479823,514758,490224,-,997639,245963,243351,261010,247315,-,974075,240946,236472,253748,242909,-
58,"01","00000","a","nenKBX.0043","1","　42歳",2005891,502593,498802,516105,488391,-,1011220,253017,252325,260238,245640,-,994671,249576,246477,255867,242751,-
59,"01","00000","a","nenKBX.0044","1","　43歳",1969474,495252,483765,516277,474180,-,994781,249267,245109,261168,239237,-,974693,245985,238656,255109,234943,-
60,"01","00000","a","nenKBX.0045","1","　44歳",1916903,481608,475838,502568,456889,-,966224,242129,240817,253889,229389,-,950679,239479,235021,248679,227500,-
61,"01","00000","a","nenKBX.0046","1","　45歳",1859279,478675,466200,476480,437924,-,936899,240161,235426,240993,220319,-,922380,238514,230774,235487,217605,-
62,"01","00000","a","nenKBX.0047","1","　46歳",1830534,475177,455335,455034,444988,-,920877,238417,229912,229127,223421,-,909657,236760,225423,225907,221567,-
63,"01","00000","a","nenKBX.0048","1","　47歳",1790075,456196,445614,460419,427846,-,899784,228749,224921,231639,214475,-,890291,227447,220693,228780,213371,-
64,"01","00000","a","nenKBX.0049","1","　48歳",1786807,524213,454607,458654,349333,-,898229,260310,228741,230973,178205,-,888578,263903,225866,227681,171128,-
65,"01","00000","a","nenKBX.0050","1","　49歳",1396109,333684,303271,328415,430739,-,699088,167938,152468,164833,213849,-,697021,165746,150803,163582,216890,-
66,"01","00000","a","nenKBX.0051","1","　50歳",1723238,457479,413665,448930,403164,-,863615,228695,207729,225235,201956,-,859623,228784,205936,223695,201208,-
67,"01","00000","a","nenKBX.0052","1","　51歳",1614331,432792,395581,409155,376803,-,808872,216718,198472,204868,188814,-,805459,216074,197109,204287,187989,-
68,"01","00000","a","nenKBX.0053","1","　52歳",1573531,438321,383366,384587,367257,-,787394,218229,192146,192900,184119,-,786137,220092,191220,191687,183138,-
69,"01","00000","a","nenKBX.0054","1","　53歳",1521404,426243,362675,374755,357731,-,760465,212762,181419,187679,178605,-,760939,213481,181256,187076,179126,-
70,"01","00000","a","nenKBX.0055","1","　54歳",1497792,413378,363582,365928,354904,-,747965,205591,181851,183416,177107,-,749827,207787,181731,182512,177797,-
71,"01","00000","a","nenKBX.0056","1","　55歳",1507869,427281,364908,363705,351975,-,750627,211575,181684,181386,175982,-,757242,215706,183224,182319,175993,-
72,"01","00000","a","nenKBX.0057","1","　56歳",1535952,436716,366230,357840,375166,-,764221,215960,182700,178506,187055,-,771731,220756,183530,179334,188111,-
73,"01","00000","a","nenKBX.0058","1","　57歳",1494037,429891,362048,365048,337050,-,740862,211606,180316,180872,168068,-,753175,218285,181732,184176,168982,-
74,"01","00000","a","nenKBX.0059","1","　58歳",1451956,411228,344649,343227,352852,-,719326,202422,170668,170448,175788,-,732630,208806,173981,172779,177064,-
75,"01","00000","a","nenKBX.0060","1","　59歳",1525432,434965,359723,362559,368185,-,754487,213948,178473,179185,182881,-,770945,221017,181250,183374,185304,-
76,"01","00000","a","nenKBX.0061","1","　60歳",1575973,460802,363387,376479,375305,-,779239,226430,179654,187118,186037,-,796734,234372,183733,189361,189268,-
77,"01","00000","a","nenKBX.0062","1","　61歳",1574411,466182,351934,384659,371636,-,776097,230286,173792,189997,182022,-,798314,235896,178142,194662,189614,-
78,"01","00000","a","nenKBX.0063","1","　62歳",1671640,489377,386935,398502,396826,-,820184,239200,190254,195533,195197,-,851456,250177,196681,202969,201629,-
79,"01","00000","a","nenKBX.0064","1","　63歳",1766553,523707,405552,418502,418792,-,864252,255551,198377,204925,205399,-,902301,268156,207175,213577,213393,-
80,"01","00000","a","nenKBX.0065","1","　64歳",1866433,555686,414918,428970,466859,-,911347,267951,203380,209561,230455,-,955086,287735,211538,219409,236404,-
81,"01","00000","a","nenKBX.0066","1","　65歳",1998950,565950,437990,476785,518225,-,972084,276147,213054,232567,250316,-,1026866,289803,224936,244218,267909,-
82,"01","00000","a","nenKBX.0067","1","　66歳",2183550,651842,498398,533205,500105,-,1058636,312964,241958,259596,244118,-,1124914,338878,256440,273609,255987,-
83,"01","00000","a","nenKBX.0068","1","　67歳",2156356,662525,487802,511334,494695,-,1041367,317791,235470,247710,240396,-,1114989,344734,252332,263624,254299,-
84,"01","00000","a","nenKBX.0069","1","　68歳",2037931,585950,479348,550958,421675,-,982794,279745,232022,266478,204549,-,1055137,306205,247326,284480,217126,-
85,"01","00000","a","nenKBX.0070","1","　69歳",1267080,341899,277798,394273,253110,-,604781,160595,132958,189693,121535,-,662299,181304,144840,204580,131575,-
86,"01","00000","a","nenKBX.0071","1","　70歳",1351789,412884,291834,308638,338433,-,637232,192925,137918,146345,160044,-,714557,219959,153916,162293,178389,-
87,"01","00000","a","nenKBX.0072","1","　71歳",1634722,512021,364668,366854,391179,-,765578,237669,171338,172701,183870,-,869144,274352,193330,194153,207309,-
88,"01","00000","a","nenKBX.0073","1","　72歳",1570688,480486,337902,398057,354243,-,732095,221932,157394,186881,165888,-,838593,258554,180508,211176,188355,-
