13,"Å¶ëÂçÄñ⁄","ínàÊÉRÅ[Éh","ínàÊéØï ÉRÅ[Éh","","","","ëçêîÅièoê∂ÇÃåéÅj ","1åéÅ`3åé","4åéÅ`6åé","7åéÅ`9åé","10åéÅ`12åé","èoê∂ÇÃåéÅuïsè⁄Åv","ëçêîÅièoê∂ÇÃåéÅj ","1åéÅ`3åé","4åéÅ`6åé","7åéÅ`9åé","10åéÅ`12åé","èoê∂ÇÃåéÅuïsè⁄Åv","ëçêîÅièoê∂ÇÃåéÅj ","1åéÅ`3åé","4åéÅ`6åé","7åéÅ`9åé","10åéÅ`12åé","èoê∂ÇÃåéÅuïsè⁄Åv"
33,"01","00000","a","nen5BX.0018","1","Å@85Å`89çŒ",3117257,1052171,644615,732230,688241,-,1056641,350486,220779,252646,232730,-,2060616,701685,423836,479584,455511,-
34,"01","00000","a","nen5BX.0019","1","Å@90Å`94çŒ",1349120,474594,264370,324208,285948,-,333335,113987,66264,83103,69981,-,1015785,360607,198106,241105,215967,-
35,"01","00000","a","nen5BX.0020","1","Å@95Å`99çŒ",359347,125413,72245,85595,76094,-,63265,21673,12688,15346,13558,-,296082,103740,59557,70249,62536,-
36,"01","00000","a","nen5BX.0021","1","Å@100çŒà»è„",61763,21133,12125,15609,12896,-,8383,2816,1655,2110,1802,-,53380,18317,10470,13499,11094,-
37,"01","00000","a","nen5BX.0022","1","Å@îNóÓÅuïsè⁄Åv",1453758,-,-,-,-,1453758,828411,-,-,-,-,828411,625347,-,-,-,-,625347
38,"","","","","","00 ëSçë ésïî",,,,,,,,,,,,,,,,,,
39,"01","00001","b","nen5BX.0000","0","ëçêîÅiîNóÓÅj",116137232,31092118,27110663,28836244,27681497,1416710,56532149,14875733,13274465,14084382,13491357,806212,59605083,16216385,13836198,14751862,14190140,610498
40,"01","00001","b","nen5BX.0001","1","Å@0Å`4çŒ",4585047,1106164,1122239,1182163,1174481,-,2344645,564055,576011,605267,599312,-,2240402,542109,546228,576896,575169,-
41,"01","00001","b","nen5BX.0002","1","Å@5Å`9çŒ",4842315,1177527,1189619,1256270,1218899,-,2480103,601397,611761,644255,622690,-,2362212,576130,577858,612015,596209,-
42,"01","00001","b","nen5BX.0003","1","Å@10Å`14çŒ",5098044,1242431,1247689,1319889,1288035,-,2611161,634575,641371,677529,657686,-,2486883,607856,606318,642360,630349,-
43,"01","00001","b","nen5BX.0004","1","Å@15Å`19çŒ",5512237,1335285,1374157,1439853,1362942,-,2829307,683195,707103,740247,698762,-,2682930,652090,667054,699606,664180,-
44,"01","00001","b","nen5BX.0005","1","Å@20Å`24çŒ",5557062,1335760,1382633,1454032,1384637,-,2834296,680112,708165,741700,704319,-,2722766,655648,674468,712332,680318,-
45,"01","00001","b","nen5BX.0006","1","Å@25Å`29çŒ",5947621,1432009,1463059,1538586,1513967,-,3016085,724738,743909,781853,765585,-,2931536,707271,719150,756733,748382,-
46,"01","00001","b","nen5BX.0007","1","Å@30Å`34çŒ",6748938,1626204,1655518,1780557,1686659,-,3407192,819570,839166,900158,848298,-,3341746,806634,816352,880399,838361,-
47,"01","00001","b","nen5BX.0008","1","Å@35Å`39çŒ",7682014,1865879,1907763,1993833,1914539,-,3879376,940477,966659,1008319,963921,-,3802638,925402,941104,985514,950618,-
48,"01","00001","b","nen5BX.0009","1","Å@40Å`44çŒ",9002172,2244675,2215474,2337133,2204890,-,4540962,1129462,1120974,1181067,1109459,-,4461210,1115213,1094500,1156066,1095431,-
49,"01","00001","b","nen5BX.0010","1","Å@45Å`49çŒ",8008263,2089977,1964696,2020416,1933174,-,4026225,1046227,990664,1018001,971333,-,3982038,1043750,974032,1002415,961841,-
50,"01","00001","b","nen5BX.0011","1","Å@50Å`54çŒ",7266826,1979085,1756964,1825342,1705435,-,3636156,986947,880468,915412,853329,-,3630670,992138,876496,909930,852106,-
51,"01","00001","b","nen5BX.0012","1","Å@55Å`59çŒ",6791248,1928214,1623179,1625669,1614186,-,3368519,950274,806739,807590,803916,-,3422729,977940,816440,818079,810270,-
52,"01","00001","b","nen5BX.0013","1","Å@60Å`64çŒ",7593671,2237673,1725877,1806732,1823389,-,3722143,1091201,847649,887177,896116,-,3871528,1146472,878228,919555,927273,-
53,"01","00001","b","nen5BX.0014","1","Å@65Å`69çŒ",8719913,2537167,1971336,2233285,1978125,-,4203013,1213826,951947,1080406,956834,-,4516900,1323341,1019389,1152879,1021291,-
54,"01","00001","b","nen5BX.0015","1","Å@70Å`74çŒ",6983090,2158877,1511061,1659306,1653846,-,3247479,994036,704421,775431,773591,-,3735611,1164841,806640,883875,880255,-
55,"01","00001","b","nen5BX.0016","1","Å@75Å`79çŒ",5654811,1848622,1195966,1305529,1304694,-,2511652,806269,534100,585226,586057,-,3143159,1042353,661866,720303,718637,-
56,"01","00001","b","nen5BX.0017","1","Å@80Å`84çŒ",4425840,1471720,932098,1036570,985452,-,1779702,577803,378613,422995,400291,-,2646138,893917,553485,613575,585161,-
57,"01","00001","b","nen5BX.0018","1","Å@85Å`89çŒ",2749324,928961,566697,647552,606114,-,932310,309805,194173,223350,204982,-,1817014,619156,372524,424202,401132,-
58,"01","00001","b","nen5BX.0019","1","Å@90Å`94çŒ",1183214,417144,230847,284894,250329,-,292810,100301,57975,73122,61412,-,890404,316843,172872,211772,188917,-
59,"01","00001","b","nen5BX.0020","1","Å@95Å`99çŒ",314841,110239,63215,74922,66465,-,55450,19011,11149,13410,11880,-,259391,91228,52066,61512,54585,-
60,"01","00001","b","nen5BX.0021","1","Å@100çŒà»è„",54031,18505,10576,13711,11239,-,7351,2452,1448,1867,1584,-,46680,16053,9128,11844,9655,-
61,"01","00001","b","nen5BX.0022","1","Å@îNóÓÅuïsè⁄Åv",1416710,-,-,-,-,1416710,806212,-,-,-,-,806212,610498,-,-,-,-,610498
62,"","","","","","00 ëSçë åSïî",,,,,,,,,,,,,,,,,,
63,"01","00002","b","nen5BX.0000","0","ëçêîÅiîNóÓÅj",10957513,3047907,2576352,2683860,2612346,37048,5309589,1454660,1257066,1305651,1270013,22199,5647924,1593247,1319286,1378209,1342333,14849
64,"01","00002","b","nen5BX.0001","1","Å@0Å`4çŒ",402659,98468,97924,103030,103237,-,206276,50190,50492,52609,52985,-,196383,48278,47432,50421,50252,-
