1,"平成27年国勢調査人口等基本集計（総務省統計局）","","","","","","","","","","","","","","",""
2,"","","","","","","第2表　男女別人口，人口性比及び世帯の種類(2区分)別世帯数，世帯人員 － 全国※，全国市部・郡部，都道府県※，都道府県市部・郡部，市区町村※，平成12年市町村 ","","","","","","","","",""
3,"","","","","","","Table 2. Population by Sex, Sex Ratio and Households and Household Members, by Type of Household (2 Groups)  - Japan*, All Shi, All Gun, Prefectures*, All Shi of Prefectures, All Gun of Prefectures, Shi*, Ku*, Machi*, Mura* and Municipalities in 2000 ","","","","","","","","",""
4,"","","","","","","","","","","","","","","",""
5,"","","","","","","to21-021.0001","to21-021.0002","to21-021.0003","to21-021.0004","to21-022.0001","to21-022.0002","to21-022.0003","to21-023.0001","to21-023.0002","to21-023.0003"
6,"","","","","","","0","1","1","1","0","1","1","0","1","1"
7,"※大項目","地域コード","地域識別コード","境域年次(2015)","境域年次(2000)","","人口　総数","人口　男","人口　女","人口性比","世帯数　総数","世帯数　一般世帯","世帯数　施設等の世帯","世帯人員　総数","世帯人員　一般世帯","世帯人員　施設等の世帯"
8,"","00000","a","2015","2000","全国",127094745,61841738,65253007,94.7722424501,53448685,53331797,116888,127094745,124296331,2798414
9,"","00001","b","2015","2000","市部",116137232,56532149,59605083,94.8445101570,49319924,49215772,104152,116137232,113648908,2488324
10,"","00002","b","2015","2000","郡部",10957513,5309589,5647924,94.0095688256,4128761,4116025,12736,10957513,10647423,310090
11,"","01000","a","2015","2000","北海道",5381733,2537089,2844644,89.1882780411,2444810,2438206,6604,5381733,5198268,183465
12,"","01001","b","2015","2000","市部",4395172,2063947,2331225,88.5348690066,2021698,2017061,4637,4395172,4251635,143537
13,"","01002","b","2015","2000","郡部",986561,473142,513419,92.1551403435,423112,421145,1967,986561,946633,39928
14,"","01100","1","2015","2000","札幌市",1952356,910614,1041742,87.4126223192,921837,920415,1422,1952356,1899980,52376
15,"","01101","0","2015","2000","札幌市 中央区",237627,107756,129871,82.9715640905,132006,131819,187,237627,230198,7429
16,"","01102","0","2015","2000","札幌市 北区",285321,134534,150787,89.2212193359,133662,133477,185,285321,278475,6846
17,"","01103","0","2015","2000","札幌市 東区",261912,124649,137263,90.8103421898,124425,124251,174,261912,254964,6948
18,"","01104","0","2015","2000","札幌市 白石区",209584,99020,110564,89.5589884592,104608,104464,144,209584,204739,4845
19,"","01105","0","2015","2000","札幌市 豊平区",218652,101482,117170,86.6109072288,110171,110023,148,218652,214410,4242
20,"","01106","0","2015","2000","札幌市 南区",141190,65305,75885,86.0578506951,61291,61145,146,141190,135129,6061
21,"","01107","0","2015","2000","札幌市 西区",213578,98648,114930,85.8331158096,97750,97585,165,213578,208702,4876
22,"","01108","0","2015","2000","札幌市 厚別区",127767,58312,69455,83.9565186092,55585,55498,87,127767,124638,3129
23,"","01109","0","2015","2000","札幌市 手稲区",140999,66284,74715,88.7157866560,57333,57238,95,140999,136584,4415
24,"","01110","0","2015","2000","札幌市 清田区",115726,54624,61102,89.3980557101,45006,44915,91,115726,112141,3585
25,"","01202","2","2015","","函館市",265979,120376,145603,82.6741207255,123950,123651,299,265979,255149,10830
26,"","01202","9","","2000","　　(旧 202 函館市)",254157,114890,139267,82.4962123116,119177,118893,284,254157,243666,10491
27,"","01202","9","","2000","　　(旧 339 戸井町)",2677,1219,1458,83.6076817558,1067,1061,6,2677,2574,103
28,"","01202","9","","2000","　　(旧 340 恵山町)",2993,1390,1603,86.7124142233,1287,1284,3,2993,2876,117
29,"","01202","9","","2000","　　(旧 341 椴法華村)",910,406,504,80.5555555556,396,394,2,910,881,29
30,"","01202","9","","2000","　　(旧 342 南茅部町)",5242,2471,2771,89.1735835438,2023,2019,4,5242,5152,90
31,"","01203","2","2015","2000","小樽市",121924,54985,66939,82.1419501337,55466,55299,167,121924,116724,5200
32,"","01204","2","2015","2000","旭川市",339605,156402,183203,85.3708727477,155747,155218,529,339605,326243,13362
33,"","01205","2","2015","2000","室蘭市",88564,43143,45421,94.9846987076,43616,43536,80,88564,86029,2535
34,"","01206","2","2015","","釧路市",174742,82185,92557,88.7939323876,82078,81846,232,174742,169155,5587
35,"","01206","9","","2000","　　(旧 206 釧路市)",167925,78878,89047,88.5801879906,78874,78661,213,167925,162671,5254
36,"","01206","9","","2000","　　(旧 666 阿寒町)",4882,2373,2509,94.5795137505,2350,2345,5,4882,4756,126
37,"","01206","9","","2000","　　(旧 669 音別町)",1935,934,1001,93.3066933067,854,840,14,1935,1728,207
38,"","01207","2","2015","2000","帯広市",169327,80994,88333,91.6916667610,77707,77525,182,169327,163589,5738
39,"","01208","2","2015","","北見市",121226,58020,63206,91.7950827453,56202,56043,159,121226,117577,3649
40,"","01208","9","","2000","　　(旧 208 北見市)",105979,50849,55130,92.2347179394,49965,49831,134,105979,103107,2872
41,"","01208","9","","2000","　　(旧 548 端野町)",4886,2364,2522,93.7351308485,1792,1788,4,4886,4625,261
42,"","01208","9","","2000","　　(旧 551 留辺蘂町)",6381,2945,3436,85.7101280559,2835,2818,17,6381,6004,377
43,"","01208","9","","2000","　　(旧 553 常呂町)",3980,1862,2118,87.9131255902,1610,1606,4,3980,3841,139
44,"","01209","2","2015","2000","夕張市",8843,4092,4751,86.1292359503,4539,4526,13,8843,8460,383
45,"","01210","2","2015","","岩見沢市",84499,39319,45180,87.0274457725,36155,36060,95,84499,81202,3297
46,"","01210","9","","2000","　　(旧 210 岩見沢市)",76348,35472,40876,86.7795283296,33105,33022,83,76348,73572,2776
47,"","01210","9","","2000","　　(旧 421 北村)",2707,1287,1420,90.6338028169,927,926,1,2707,2623,84
48,"","01210","9","","2000","　　(旧 422 栗沢町)",5444,2560,2884,88.7656033287,2123,2112,11,5444,5007,437
49,"","01211","2","2015","2000","網走市",39077,19819,19258,102.9130750857,18035,17984,51,39077,37138,1939
50,"","01212","2","2015","2000","留萌市",22221,10516,11705,89.8419478855,10402,10358,44,22221,21320,901
51,"","01213","2","2015","2000","苫小牧市",172737,84605,88132,95.9980483820,78298,78145,153,172737,167749,4988
52,"","01214","2","2015","2000","稚内市",36380,17809,18571,95.8968283883,16486,16445,41,36380,35399,981
53,"","01215","2","2015","2000","美唄市",23035,10753,12282,87.5508874776,10173,10098,75,23035,21799,1236
