1,"平成27年国勢調査人口等基本集計（総務省統計局）","","","","","","","","","","","","","","",""
2,"","","","","","","第2表　男女別人口，人口性比及び世帯の種類(2区分)別世帯数，世帯人員 － 全国※，全国市部・郡部，都道府県※，都道府県市部・郡部，市区町村※，平成12年市町村 ","","","","","","","","",""
3,"","","","","","","Table 2. Population by Sex, Sex Ratio and Households and Household Members, by Type of Household (2 Groups)  - Japan*, All Shi, All Gun, Prefectures*, All Shi of Prefectures, All Gun of Prefectures, Shi*, Ku*, Machi*, Mura* and Municipalities in 2000 ","","","","","","","","",""
4,"","","","","","","","","","","","","","","",""
5,"","","","","","","to21-021.0001","to21-021.0002","to21-021.0003","to21-021.0004","to21-022.0001","to21-022.0002","to21-022.0003","to21-023.0001","to21-023.0002","to21-023.0003"
6,"","","","","","","0","1","1","1","0","1","1","0","1","1"
7,"※大項目","地域コード","地域識別コード","境域年次(2015)","境域年次(2000)","","人口　総数","人口　男","人口　女","人口性比","世帯数　総数","世帯数　一般世帯","世帯数　施設等の世帯","世帯人員　総数","世帯人員　一般世帯","世帯人員　施設等の世帯"
50,"","13218","2","2015","2000","福生市",58395,29238,29157,100.2778063587,27260,27220,40,58395,57241,1154
51,"","13219","2","2015","2000","狛江市",80249,39206,41043,95.5242063202,39458,39434,24,80249,79294,955
52,"","13220","2","2015","2000","東大和市",85157,41820,43337,96.4995269631,35555,35524,31,85157,84302,855
53,"","13221","2","2015","2000","清瀬市",74864,35968,38896,92.4722336487,32369,32290,79,74864,72416,2448
54,"","13222","2","2015","2000","東久留米市",116632,56738,59894,94.7306908872,49902,49859,43,116632,115012,1620
55,"","13223","2","2015","2000","武蔵村山市",71229,35556,35673,99.6720208561,28300,28277,23,71229,70199,1030
56,"","13224","2","2015","2000","多摩市",146631,71762,74869,95.8500848148,65461,65406,55,146631,143907,2724
57,"","13225","2","2015","2000","稲城市",87636,44041,43595,101.0230531024,36533,36510,23,87636,86230,1406
58,"","13227","2","2015","2000","羽村市",55833,28451,27382,103.9040245417,23451,23435,16,55833,54962,871
59,"","13228","2","2015","2000","あきる野市",80954,40218,40736,98.7283974863,30817,30758,59,80954,78809,2145
60,"","13229","2","2015","","西東京市",200012,97830,102182,95.7409328453,89734,89605,129,200012,195992,4020
61,"","13229","9","","2000","　　(旧 216 田無市)",90008,44136,45872,96.2155563307,40010,39968,42,90008,88416,1592
62,"","13229","9","","2000","　　(旧 217 保谷市)",110004,53694,56310,95.3542887587,49724,49637,87,110004,107576,2428
63,"","13300","c","2015","2000","西多摩郡",58334,29096,29238,99.5143306656,21876,21816,60,58334,54819,3515
